任务名称,板块,时间段,频率,优先级,预计时长,标签
"5分钟口部操 + 美文/新闻跟读（录制视频）","🎤 口才训练",早上,每日,高,30,"口语,跟读"
"专业文章阅读，浓缩观点形成个人见解","🎤 口才训练",白天,每日,中,45,"阅读,写作"
"背诵/诗词（手抄一遍）","🎤 口才训练",下午,每日,中,30,"背诵,诗词"
"专业观点录制成口播 + 五分钟口部操","🎤 口才训练",晚上,每日,高,20,"口播,复盘"
"方案收集：每日收集1个方案进行分析点评","📚 专业沉淀",每日,每日,高,60,"方案,分析"
"案例分析：每日研究1个获奖高分案例","📚 专业沉淀",每日,每日,高,60,"案例,学习"
"方法论沉淀：官方/专家干货文章阅读","📚 专业沉淀",每日,每日,中,45,"方法论,阅读"
"体态养成：早起平板支撑、俯卧撑、燃脂小运动","💪 运动健身",早起,每日,高,15,"体态,基础"
"跑步","💪 运动健身",灵活安排,每周2次,中,40,"有氧,跑步"
"力量训练","💪 运动健身",灵活安排,每周3次,中,45,"力量,增肌"
"睡前复盘：今日训练完成情况、思考感悟","🧠 思维训练",睡前,每日,高,15,"复盘,思考"
"晚间听书：心理学、逻辑学、演讲、历史","🧠 思维训练",晚间,每日,中,30,"听书,学习"
"方法论沉淀：干货文章阅读，浓缩观点","🧠 思维训练",灵活安排,每日,中,30,"思考,方法论"
